sha256,isMalicious,Chabada,Gcata,apisList
916FBFE6A4101EB282DC7B60C28870DFE6AEE19892C3FAC6400A81196A2F1047,True,42,10,"['android.app.NotificationManager.notify', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.view.View.startDrag', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.bluetooth.BluetoothDevice.getBondState', 'android.bluetooth.BluetoothDevice.getName', 'android.media.MediaRecorder.setAudioSource', 'android.app.WallpaperManager.setBitmap', 'android.app.WallpaperManager.setBitmap', 'android.accounts.AccountManager.addAccount', 'android.accounts.AccountManager.getAccountsByType', 'android.accounts.AccountManager.getAccountsByType', 'android.widget.VideoView.pause', 'android.widget.VideoView.pause', 'android.widget.VideoView.start', 'android.widget.VideoView.start', 'android.widget.VideoView.pause', 'android.widget.VideoView.start', 'android.widget.VideoView.stopPlayback', 'android.nfc.NfcAdapter.disableForegroundNdefPush', 'android.nfc.NfcAdapter.enableForegroundNdefPush', 'android.nfc.tech.Ndef.connect', 'android.nfc.tech.Ndef.writeNdefMessage', 'android.nfc.tech.NdefFormatable.format', 'android.nfc.tech.NdefFormatable.connect', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.setVideoURI', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.setVideoURI', 'android.accounts.AccountManager.invalidateAuthToken', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.getAuthTokenByFeatures', 'android.app.NotificationManager.notify', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.isDiscovering', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.bluetooth.BluetoothAdapter.startDiscovery', 'android.accounts.AccountManager.invalidateAuthToken', 'android.accounts.AccountManager.getAuthToken', 'android.bluetooth.BluetoothAdapter.isDiscovering', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.bluetooth.BluetoothDevice.createBond', 'android.bluetooth.BluetoothAdapter.disable', 'android.bluetooth.BluetoothAdapter.enable', 'android.bluetooth.BluetoothAdapter.getScanMode', 'android.bluetooth.BluetoothAdapter.getScanMode', 'android.bluetooth.BluetoothAdapter.getScanMode', 'android.bluetooth.BluetoothAdapter.getState', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.disable', 'android.bluetooth.BluetoothAdapter.enable', 'android.telephony.TelephonyManager.getDeviceId', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.release', 'android.os.Vibrator.cancel', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.stop', 'android.os.Vibrator.vibrate', 'android.media.MediaPlayer.pause', 'android.os.Vibrator.cancel', 'android.os.Vibrator.vibrate', 'android.os.Vibrator.vibrate', 'android.media.MediaRecorder.setAudioSource', 'android.telephony.SmsManager.sendMultipartTextMessage', 'android.app.WallpaperManager.clear', 'android.net.wifi.WifiManager.setWifiEnabled', 'android.net.wifi.WifiManager.setWifiEnabled', 'android.net.wifi.WifiManager.setWifiEnabled', 'android.hardware.Camera.open', 'android.app.ActivityManager.getRunningTasks', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.release', 'android.bluetooth.BluetoothDevice.getBondState', 'android.bluetooth.BluetoothDevice.getName', 'android.bluetooth.BluetoothDevice.getBluetoothClass', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.getBondedDevices', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.startDiscovery', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.telephony.TelephonyManager.listen', 'android.widget.VideoView.pause', 'android.telephony.TelephonyManager.getDeviceId', 'android.telephony.TelephonyManager.getDeviceId', 'android.telephony.TelephonyManager.getDeviceId', 'android.media.AudioManager.isWiredHeadsetOn', 'android.widget.VideoView.start', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.pause', 'android.widget.VideoView.stopPlayback', 'android.app.NotificationManager.notify']"
DD5F157EA4B6084C6331A827E77EB71D32EC6828EBF565609592EDCF69DF8561,True,12,49,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.location.LocationManager.isProviderEnabled', 'android.app.DownloadManager.enqueue', 'android.location.LocationManager.isProviderEnabled', 'android.telephony.TelephonyManager.getDeviceId', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify']"
71689A4929E499E0C86928C04E8139752DE82752F28558EA08B434C2EEAA784F,True,42,44,"['android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.WallpaperManager.setBitmap', 'android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.NotificationManager.notify']"
AE4384C5B11A66E8B3BA5FCCD67F2E4B09D0EBE623418B8E6F987681B9FACA0E,True,42,31,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.telephony.TelephonyManager.getDeviceId', 'android.app.DownloadManager.enqueue', 'android.location.LocationManager.isProviderEnabled', 'android.telephony.TelephonyManager.listen', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.app.NotificationManager.notify']"
01549D8EDABE4DC241B2181A0A91B60A25BDCD8983F0B03E2D8B0EA6F1987589,True,40,28,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation']"
70D1A37AFFDF4A897F55638CE236BD79120020C3C6A39A033549EA37CBACAD59,True,42,22,"['android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.net.ConnectivityManager.getNetworkInfo', 'android.support.v4.net.ConnectivityManagerCompat$ConnectivityManagerCompatImpl.isActiveNetworkMetered', 'android.net.ConnectivityManager.getActiveNetworkInfo', 'android.net.ConnectivityManager.getActiveNetworkInfo', 'android.net.ConnectivityManager.isActiveNetworkMetered', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction', 'android.media.RingtoneManager.getRingtone', 'android.net.ConnectivityManager.getActiveNetworkInfo', 'android.support.v4.net.ConnectivityManagerCompatGingerbread.isActiveNetworkMetered', 'android.support.v4.net.ConnectivityManagerCompatHoneycombMR2.isActiveNetworkMetered', 'android.support.v4.net.ConnectivityManagerCompatJellyBean.isActiveNetworkMetered', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction']"
D21E711C5806280D971A8098040F259B68939C958F69E27EB94D346B2DB0A539,True,42,8,['android.telephony.TelephonyManager.getDeviceId']
A0CE326FB3DD1DF4C05E382D65D4EF6D748A3D3FBBCA9F769D715A8455E2B026,True,35,31,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.app.DownloadManager.enqueue', 'android.telephony.TelephonyManager.listen', 'android.location.LocationManager.isProviderEnabled', 'android.telephony.TelephonyManager.getDeviceId', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.app.NotificationManager.notify']"
74BC6A1B8EDB115465C34D9317BEDF62B36514B91E734F3315DF842010A41E04,True,42,8,"['android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation']"
ED1A725844124E379E3C79AD8D2763741BCB8E14AB07567A078C11608C206F11,True,35,1,"['android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify']"
F9655DB830D5D2DA36E601AC1CFFC63C94601B5180B6F6339D2D79222CF50371,True,35,8,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction']"
6D483C8633F36854AA6F86932030BD0B05124F48A5FDDCB843BA45659546069E,True,42,4,['android.telephony.TelephonyManager.getDeviceId']
6C8E66ED6DFAD3F9160C26DE8E04DF119AFE8F129EE37FD7E1FDEE9B59BD9D06,True,42,44,"['android.app.NotificationManager.notify', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.WallpaperManager.setBitmap', 'android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify']"
ACD572D460F15C0257EDA36C9309BC02E4F8F1F76DCC53C0BA619B247E3F018E,True,42,8,['android.telephony.TelephonyManager.getDeviceId']
9241F8BD1C6DB0449C0F35404BE865196D65BCE26624C4DCF9646C66DE790B1C,True,42,8,"['android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction']"
23C7241ADFC9DD818C532027CCD137C980B6F9407B21CC1F3B16C163770007E9,True,42,8,['android.telephony.TelephonyManager.getDeviceId']
8D8CD6F32A95662E2E979371FD9A05E960BFB5C7973E7195D6F5C8E4FA4105BE,True,42,8,['android.telephony.TelephonyManager.getDeviceId']
D6A2E55DF64D337522FE97B138A3F0554A407C6B4086E3165FFF5DB321BBDCC1,True,8,8,"['android.telephony.TelephonyManager.getDeviceId', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction', 'android.app.ActivityManager.getRunningTasks']"
A63C052D76494DD732BEFCA4406771007ADB997E6EBC2CF7B442848F29F06AE4,True,42,29,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.ActivityManager.getRunningTasks']"
59FD8905423A52759C604C41DAE747E0473E49A8715D75EF9EA04739FBDBFFF9,True,42,29,['android.telephony.TelephonyManager.getDeviceId']
AACB49FAB38CE1143F5342232E117A66E7DA46BD67853C7C12AD2453F9D3C701,True,42,16,"['android.telephony.TelephonyManager.getDeviceId', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.view.View.startDrag', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.app.ActivityManager.getRunningTasks', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.release', 'android.app.NotificationManager.notify', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures']"
8AC395F62D6DB8A92DD77776E6CD4115B637EFDCA2048BD364B98A0B8A68BC14,True,42,43,"['android.telephony.TelephonyManager.getDeviceId', 'android.app.NotificationManager.notify', 'android.view.View.startDrag', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.app.ActivityManager.getRunningTasks', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.stop', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures']"
12FDBF536EE76FC6819381CD29FC4A700A8CA77AE361F1B65EB72BF51857E352,True,42,47,"['android.telephony.TelephonyManager.getDeviceId', 'android.app.NotificationManager.notify', 'android.view.View.startDrag', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.stop', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures']"
4E80CFE8BC3ABFF397A676824A284ECFE9174B766823BB3E350800C957B65F52,True,42,8,"['android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean$AccessibilityNodeInfoBridge.performAction']"
D298CB1A0AAAB2F0914FD2BEAC1B07FA306C7D2DBCAF0FD3D3CD3A9C1F46FB59,True,42,30,"['android.accounts.AccountManager.invalidateAuthToken', 'android.app.NotificationManager.notify', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.bluetooth.BluetoothDevice.createBond', 'android.bluetooth.BluetoothDevice.createBond', 'android.bluetooth.BluetoothDevice.createBond']"
9BDB4EA51F2D408FAC9CFBC23D039977C6CC78DA2D124F283723C535971B23BC,True,42,44,"['android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks', 'android.widget.VideoView.stopPlayback', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.pause', 'android.widget.VideoView.start']"
7A2CCA6221970F3C7BCC186EF09FC6598706931520C72F8B21136C6CE70CE6C5,True,42,8,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks']"
19B28F5A99C67FA386E4A2FE2A85E05016F36DC7274FE015406CCE8BD4FB7688,True,42,42,"['android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.telephony.SmsManager.sendTextMessage', 'android.telephony.SmsManager.sendTextMessage', 'android.provider.Settings$System.putInt', 'android.location.LocationManager.isProviderEnabled']"
7C0FD1D53885DF4869CBA326EFA3C5F7D0C00263CF759EF688AF926FB5F43429,True,42,5,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.app.NotificationManager.notify', 'android.view.View.startDrag', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks', 'android.location.LocationManager.getLastKnownLocation', 'android.media.MediaPlayer.stop', 'android.app.NotificationManager.notify', 'android.app.ActivityManager.getRunningTasks', 'android.app.NotificationManager.notify', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.start', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.widget.VideoView.setVideoPath', 'android.widget.VideoView.start', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.stop', 'android.media.MediaPlayer.stop']"
